enhancer,tss,gene
chr1:100113534-100114036,NM_017734,PALMD
chr1:100138206-100138591,NM_000642;NM_000028;NM_000643;NM_000644;NM_000646,AGL
chr1:100138206-100138591,NM_017734,PALMD
chr1:100494312-100494735,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100494312-100494735,NM_033055,HIAT1
chr1:100512510-100512716,NM_033055,HIAT1
chr1:1005293-1005547,NM_001142467;NM_021170,HES4
chr1:100820585-100820838,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100820585-100820838,NM_033055,HIAT1
chr1:100827551-100827774,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100827551-100827774,NM_033055,HIAT1
chr1:100827551-100827774,NM_012243,SLC35A3
chr1:100828525-100828922,NM_194292,SASS6
chr1:100858865-100858991,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100858865-100858991,NM_033055,HIAT1
chr1:100858865-100858991,NM_012243,SLC35A3
chr1:100859593-100859940,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100859593-100859940,NM_033055,HIAT1
chr1:100905821-100906168,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100905821-100906168,NM_033055,HIAT1
chr1:100905821-100906168,NM_012243,SLC35A3
chr1:100911126-100911538,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100911126-100911538,NM_033055,HIAT1
chr1:100911126-100911538,NM_012243,SLC35A3
chr1:100918231-100918546,NM_003672;NM_033312;NM_033313,CDC14A
chr1:100918231-100918546,NM_033055,HIAT1
chr1:100918231-100918546,NM_012243,SLC35A3
chr1:100996437-100996829,NM_001144884;NM_133496,SLC30A7
chr1:101000887-101001063,NM_001144884;NM_133496,SLC30A7
chr1:10127211-10127315,NM_015074;NM_183416,KIF1B
chr1:101313094-101313246,NM_001144884;NM_133496,SLC30A7
chr1:101392986-101393260,NM_001400,S1PR1
chr1:101392986-101393260,NM_001144884;NM_133496,SLC30A7
chr1:101577594-101578108,NM_001400,S1PR1
chr1:101577594-101578108,NM_001144884;NM_133496,SLC30A7
chr1:101725356-101725679,NM_001144884;NM_133496,SLC30A7
chr1:101749748-101750147,NM_001400,S1PR1
chr1:101764288-101764549,NM_001400,S1PR1
chr1:101774729-101775525,NM_001400,S1PR1
chr1:101775588-101775858,NM_001400,S1PR1
chr1:101776223-101776281,NM_001400,S1PR1
chr1:10261395-10261566,NM_015074;NM_183416,KIF1B
chr1:103475785-103476234,NM_001190709;NM_001854;NM_080629;NM_080630,COL11A1
chr1:103572619-103572906,NM_001190709;NM_001854;NM_080629;NM_080630,COL11A1
chr1:10496880-10497075,NM_015074;NM_183416,KIF1B
chr1:1060905-1061095,NM_001205252,RNF223
chr1:1063914-1064111,NM_198576,AGRN
chr1:1063914-1064111,NM_022834;NM_199121,VWA1
chr1:10726049-10726261,NM_001079843;NM_017766,CASZ1
chr1:10757179-10757344,NM_001079843;NM_017766,CASZ1
chr1:10766390-10766837,NM_021146,ANGPTL7
chr1:10766390-10766837,NM_001079843;NM_017766,CASZ1
chr1:107731970-107732212,NM_001113226;NM_001113228;NM_014917,NTNG1
chr1:107793275-107793534,NM_001113226;NM_001113228;NM_014917,NTNG1
chr1:107853487-107853575,NM_001113226;NM_001113228;NM_014917,NTNG1
chr1:108132692-108133060,NM_001113226;NM_001113228;NM_014917,NTNG1
chr1:108132692-108133060,NM_001079874,VAV3
chr1:10813352-10813797,NM_021146,ANGPTL7
chr1:10813352-10813797,NM_001079843;NM_017766,CASZ1
chr1:10816030-10816223,NM_001079843;NM_017766,CASZ1
chr1:108199393-108199592,NM_006113,VAV3
chr1:108329022-108329589,NM_006113,VAV3
chr1:108338013-108338351,NM_006113,VAV3
chr1:108347574-108347600,NM_006113,VAV3
chr1:108353015-108353316,NM_006113,VAV3
chr1:108478082-108478329,NM_006113,VAV3
chr1:108478963-108479298,NM_006113,VAV3
chr1:108479405-108480123,NM_006113,VAV3
chr1:108483614-108484145,NM_006113,VAV3
chr1:10849807-10850141,NM_021146,ANGPTL7
chr1:10849807-10850141,NM_001079843;NM_017766,CASZ1
chr1:10853986-10854555,NM_021146,ANGPTL7
chr1:10853986-10854555,NM_001079843;NM_017766,CASZ1
chr1:108584121-108584359,NM_006113,VAV3
chr1:108592060-108592279,NM_006113,VAV3
chr1:108593971-108594173,NM_006113,VAV3
chr1:108594435-108594579,NM_006113,VAV3
chr1:108600214-108600460,NM_006113,VAV3
chr1:108606399-108606634,NM_001010883,FAM102B
chr1:108617640-108617970,NM_001010883,FAM102B
chr1:108617640-108617970,NM_006113,VAV3
chr1:108622242-108622251,NM_001010883,FAM102B
chr1:108622242-108622251,NM_006113,VAV3
chr1:108650339-108650754,NM_001010883,FAM102B
chr1:108650339-108650754,NM_006113,VAV3
chr1:108661190-108661332,NM_001010883,FAM102B
chr1:108673419-108673672,NM_001010883,FAM102B
chr1:108695322-108695861,NM_001010883,FAM102B
chr1:109100040-109100237,NM_001010883,FAM102B
chr1:109100040-109100237,NM_018061,PRPF38B
chr1:109104473-109104583,NM_001010883,FAM102B
chr1:109104473-109104583,NM_018061,PRPF38B
chr1:109127044-109127234,NM_001010883,FAM102B
chr1:109127044-109127234,NM_018061,PRPF38B
chr1:109127044-109127234,NM_007269,STXBP3
chr1:109133120-109133338,NM_001010883,FAM102B
chr1:109133120-109133338,NM_018061,PRPF38B
chr1:109133120-109133338,NM_007269,STXBP3
chr1:109133637-109134097,NM_001010883,FAM102B
chr1:109133637-109134097,NM_018061,PRPF38B
chr1:109133637-109134097,NM_007269,STXBP3
chr1:109133637-109134097,NM_020141,TMEM167B
chr1:109189516-109189718,NM_001102592,HENMT1
chr1:109189516-109189718,NM_018061,PRPF38B
chr1:109189516-109189718,NM_007269,STXBP3
chr1:109189516-109189718,NM_020141,TMEM167B
chr1:109246671-109246905,NM_001010883,FAM102B
chr1:109246671-109246905,NM_018061,PRPF38B
chr1:109246671-109246905,NM_020141,TMEM167B
chr1:10927237-10927380,NM_001079843;NM_017766,CASZ1
chr1:1093610-1093958,NM_001039211,ATAD3C
chr1:1093610-1093958,NM_001146685,TMEM88B
