chromosome,start,end,enhancer,count,length,s_entropy
chr1,858256,858648,chr1:858256-858648,1,393,9.199593312233839
chr1,1014834,1015095,chr1:1014834-1015095,1,262,8.503829618587842
chr1,1093610,1093958,chr1:1093610-1093958,1,349,9.04655802455024
chr1,2172142,2172385,chr1:2172142-2172385,1,244,8.335335285915956
chr1,2574343,2574764,chr1:2574343-2574764,1,422,8.96245710818591
chr1,2804922,2805288,chr1:2804922-2805288,2,367,9.057874745219202
chr1,3136013,3136207,chr1:3136013-3136207,1,195,8.110328892306802
chr1,3309990,3310261,chr1:3309990-3310261,1,272,8.287008401604231
chr1,3620035,3620325,chr1:3620035-3620325,1,291,8.706684105862946
chr1,4004990,4005219,chr1:4004990-4005219,1,230,8.654244985123173
chr1,4079242,4079460,chr1:4079242-4079460,1,219,8.213947192921365
chr1,4327537,4327841,chr1:4327537-4327841,1,305,9.163191528920004
chr1,6351007,6351537,chr1:6351007-6351537,1,531,9.916128853709187
chr1,6354110,6354322,chr1:6354110-6354322,1,213,8.271491513360372
chr1,8214748,8215059,chr1:8214748-8215059,1,312,8.831525991529332
chr1,8257762,8258040,chr1:8257762-8258040,2,279,8.668636247125693
chr1,8571636,8571856,chr1:8571636-8571856,1,221,8.833853314366792
chr1,9222919,9223181,chr1:9222919-9223181,1,263,8.940510417892222
chr1,9912448,9912800,chr1:9912448-9912800,1,353,9.199249426507325
chr1,10556105,10556527,chr1:10556105-10556527,2,423,9.190195091845915
chr1,10960432,10960567,chr1:10960432-10960567,1,136,7.739713365625267
chr1,11376903,11377179,chr1:11376903-11377179,1,277,8.916610393330647
chr1,11415566,11415939,chr1:11415566-11415939,1,374,9.407183440783598
chr1,11559549,11559947,chr1:11559549-11559947,1,399,9.34024077771438
chr1,12126084,12126429,chr1:12126084-12126429,1,346,9.323733091447485
chr1,12238984,12239461,chr1:12238984-12239461,1,478,9.374842554325173
chr1,12493910,12494304,chr1:12493910-12494304,1,395,9.49722817148668
chr1,13825180,13825414,chr1:13825180-13825414,1,235,8.807367026860058
chr1,14467397,14467540,chr1:14467397-14467540,1,144,7.813207354284926
chr1,14765058,14765382,chr1:14765058-14765382,1,325,9.225856421979593
chr1,15240254,15240560,chr1:15240254-15240560,1,307,8.753355883437301
chr1,15786440,15786713,chr1:15786440-15786713,2,274,9.046957807086194
chr1,16125579,16125747,chr1:16125579-16125747,1,169,8.778527919853266
chr1,16277350,16278224,chr1:16277350-16278224,1,875,10.473417321147803
chr1,17231253,17231704,chr1:17231253-17231704,3,452,9.110594787519274
chr1,17353741,17353845,chr1:17353741-17353845,1,105,7.8340017367070685
chr1,19360402,19360809,chr1:19360402-19360809,1,408,9.410630163947022
chr1,20334929,20335259,chr1:20334929-20335259,1,331,9.440438703803997
chr1,20693127,20693202,chr1:20693127-20693202,1,76,6.4202239678706485
chr1,21649091,21649481,chr1:21649091-21649481,1,391,9.507165871785
chr1,21724067,21724372,chr1:21724067-21724372,1,306,9.175363037942173
chr1,22345590,22345859,chr1:22345590-22345859,1,270,9.116840526318345
chr1,23721090,23721462,chr1:23721090-23721462,1,373,9.458470523437418
chr1,23918101,23918449,chr1:23918101-23918449,1,349,9.162613925541054
chr1,24516156,24516343,chr1:24516156-24516343,1,188,8.378774246456175
chr1,24518503,24518681,chr1:24518503-24518681,1,179,8.434298345913222
chr1,25292573,25292807,chr1:25292573-25292807,1,235,8.719354377657535
chr1,25298850,25299027,chr1:25298850-25299027,1,178,8.67127707532143
chr1,25344029,25344296,chr1:25344029-25344296,1,268,9.223801764757313
chr1,25355154,25355297,chr1:25355154-25355297,1,144,7.687417771132146
chr1,25355468,25355649,chr1:25355468-25355649,1,182,8.10757527535172
chr1,25357149,25357829,chr1:25357149-25357829,1,681,10.300404032930357
chr1,26452850,26453250,chr1:26452850-26453250,1,401,9.638599341490297
chr1,26615527,26615997,chr1:26615527-26615997,2,471,9.658611755666989
chr1,27191386,27191927,chr1:27191386-27191927,2,542,9.269235904674812
chr1,27848725,27849287,chr1:27848725-27849287,1,563,9.659013962993983
chr1,27959966,27960344,chr1:27959966-27960344,1,379,9.361171953825725
chr1,27976905,27977430,chr1:27976905-27977430,1,526,9.945320069874818
chr1,28238886,28239222,chr1:28238886-28239222,1,337,9.485115418830175
chr1,28437697,28438098,chr1:28437697-28438098,2,402,9.789294416092341
chr1,28487509,28487671,chr1:28487509-28487671,1,163,8.698190895938778
chr1,31227443,31228328,chr1:31227443-31228328,1,886,10.652642786625481
chr1,31251287,31251533,chr1:31251287-31251533,1,247,9.101718577149178
chr1,32805161,32805466,chr1:32805161-32805466,1,306,9.242207494009525
chr1,33220297,33220575,chr1:33220297-33220575,1,279,8.447277950211467
chr1,33284832,33285123,chr1:33284832-33285123,1,292,8.808577304103759
chr1,33454783,33455472,chr1:33454783-33455472,2,690,10.414271807957235
chr1,33511476,33511644,chr1:33511476-33511644,1,169,8.29325371146574
chr1,33829513,33829825,chr1:33829513-33829825,1,313,9.41222466254859
chr1,36431149,36431388,chr1:36431149-36431388,1,240,9.069685085154074
