chromosome,start,end,promoter,count,length,s_entropy
chr1,900876,902876,chr1:900876-902876,1,2001,11.971455047250656
chr1,916497,918497,chr1:916497-918497,1,2001,11.988148016366955
chr1,954502,956502,chr1:954502-956502,1,2001,11.847398722403705
chr1,1108285,1110285,chr1:1108285-1110285,1,2001,11.982392268430264
chr1,1114076,1116076,chr1:1114076-1116076,1,2001,12.037492287083506
chr1,1181102,1183102,chr1:1181102-1183102,2,2001,11.924254909725866
chr1,1208234,1210234,chr1:1208234-1210234,1,2001,11.869945938406373
chr1,1242269,1244269,chr1:1242269-1244269,1,2001,11.700555863335632
chr1,1283492,1285492,chr1:1283492-1285492,1,2001,11.675905044179508
chr1,1297921,1299921,chr1:1297921-1299921,1,2001,11.843758278365287
chr1,1309580,1311580,chr1:1309580-1311580,2,2001,11.893876455270197
chr1,1309818,1311818,chr1:1309818-1311818,2,2001,11.907095654417374
chr1,1333722,1335722,chr1:1333722-1335722,1,2001,11.805057004297126
chr1,1341693,1343693,chr1:1341693-1343693,2,2001,11.863915255645717
chr1,1384068,1386068,chr1:1384068-1386068,1,2001,11.886717637394362
chr1,1406134,1408134,chr1:1406134-1408134,1,2001,11.859103871252765
chr1,1654859,1656859,chr1:1654859-1656859,1,2001,11.897757950394864
chr1,1655004,1657004,chr1:1655004-1657004,1,2001,11.94076565080828
chr1,1845265,1847265,chr1:1845265-1847265,2,2001,12.154391114538605
chr1,1849740,1851740,chr1:1849740-1851740,2,2001,11.844843559460017
chr1,1949767,1951767,chr1:1949767-1951767,1,2001,11.828242665378843
chr1,1980908,1982908,chr1:1980908-1982908,1,2001,11.818405372306575
chr1,2125214,2127214,chr1:2125214-2127214,1,2001,11.957678040071743
chr1,2322190,2324190,chr1:2322190-2324190,1,2001,11.862968888692436
chr1,2322213,2324213,chr1:2322213-2324213,1,2001,11.863039985382299
chr1,2397897,2399897,chr1:2397897-2399897,3,2001,12.030131939555
chr1,2457067,2459067,chr1:2457067-2459067,2,2001,11.893097133649446
chr1,2563481,2565481,chr1:2563481-2565481,2,2001,12.146326196479505
chr1,2705230,2707230,chr1:2705230-2707230,2,2001,11.876209945293372
chr1,2937045,2939045,chr1:2937045-2939045,1,2001,12.093818179394741
chr1,2984741,2986741,chr1:2984741-2986741,1,2001,11.776344839354197
chr1,3527059,3529059,chr1:3527059-3529059,1,2001,11.940482118185729
chr1,3540555,3542555,chr1:3540555-3542555,1,2001,11.861941123378717
chr1,3565671,3567671,chr1:3565671-3567671,2,2001,11.921451678881095
chr1,3606235,3608235,chr1:3606235-3608235,1,2001,12.038098679364472
chr1,3712068,3714068,chr1:3712068-3714068,1,2001,11.946371005525613
chr1,4714104,4716104,chr1:4714104-4716104,1,2001,11.755862068680402
chr1,6051533,6053533,chr1:6051533-6053533,1,2001,11.840338165404347
chr1,6239194,6241194,chr1:6239194-6241194,3,2001,11.829853894102577
chr1,6258679,6260679,chr1:6258679-6260679,1,2001,12.002509980684733
chr1,6265188,6267188,chr1:6265188-6267188,1,2001,11.938990112020637
chr1,6303251,6305251,chr1:6303251-6305251,1,2001,12.093579964105157
chr1,6452826,6454826,chr1:6452826-6454826,1,2001,11.859950318220216
chr1,6525255,6527255,chr1:6525255-6527255,1,2001,12.034226664106352
chr1,6556484,6558484,chr1:6556484-6558484,1,2001,11.98544614486473
chr1,6614337,6616337,chr1:6614337-6616337,1,2001,12.007196475773412
chr1,6672755,6674755,chr1:6672755-6674755,1,2001,11.792004019333426
chr1,6684209,6686209,chr1:6684209-6686209,3,2001,11.94011012523735
chr1,6760966,6762966,chr1:6760966-6762966,1,2001,11.92929197374465
chr1,6844383,6846383,chr1:6844383-6846383,1,2001,11.768767292971052
chr1,7830328,7832328,chr1:7830328-7832328,1,2001,11.942173839825081
chr1,7912104,7914104,chr1:7912104-7914104,1,2001,12.191391655675659
chr1,8002225,8004225,chr1:8002225-8004225,1,2001,12.081576907305152
chr1,8020713,8022713,chr1:8020713-8022713,2,2001,11.94830713844283
chr1,8085393,8087393,chr1:8085393-8087393,1,2001,11.743980527268754
