tss,chromosome,tss_pos,promoter,enhancer,e_count
NM_000016;NM_001127328,chr1,76190031,chr1:76189031-76191031,chr1:76250721-76250813,1
NM_000028;NM_000643;NM_000644,chr1,100316044,chr1:100315044-100317044,chr1:99935284-99935512;chr1:100138206-100138591,2
NM_000029,chr1,230850336,chr1:230849336-230851336,NA,0
NM_000036;NM_001172626,chr1,115238239,chr1:115237239-115239239,NA,0
NM_000066,chr1,57431813,chr1:57430813-57432813,chr1:57042744-57043185;chr1:57376305-57376674;chr1:57472428-57472552;chr1:57746875-57747249,4
NM_000069,chr1,201081694,chr1:201080694-201082694,NA,0
NM_000081,chr1,236030227,chr1:236029227-236031227,chr1:235805098-235806119;chr1:235850857-235851038;chr1:236022018-236022676;chr1:236022682-236022818;chr1:236025805-236026204;chr1:236026265-236026446;chr1:236026992-236027471;chr1:236039869-236040195;chr1:236080566-236081247;chr1:236082498-236082788;chr1:236101998-236102489;chr1:236109486-236110063;chr1:236115118-236115321;chr1:236116403-236116669;chr1:236118323-236118637;chr1:236230188-236230739;chr1:236319808-236320415;chr1:236323296-236323699,18
NM_000085,chr1,16370230,chr1:16369230-16371230,NA,0
NM_000098;NM_001330589,chr1,53662100,chr1:53661100-53663100,NA,0
NM_000110;NM_001160301,chr1,98386615,chr1:98385615-98387615,chr1:98315619-98315765;chr1:98366677-98366793;chr1:98403373-98403764,3
NM_000120,chr1,226013001,chr1:226012001-226014001,chr1:226014145-226014403,1
NM_000130,chr1,169555769,chr1:169554769-169556769,chr1:169540812-169540977;chr1:169553917-169554291,2
NM_000143,chr1,241683085,chr1:241682085-241684085,NA,0
NM_000147,chr1,24194859,chr1:24193859-24195859,chr1:24237439-24237588,1
NM_000157,chr1,155211069,chr1:155210069-155212069,NA,0
NM_000186;NM_001014975,chr1,196621007,chr1:196620007-196622007,chr1:196379497-196379989,1
NM_000191;NM_001166059,chr1,24151949,chr1:24150949-24152949,NA,0
NM_000198,chr1,119957742,chr1:119956742-119958742,NA,0
NM_000228,chr1,209825820,chr1:209824820-209826820,chr1:209528830-209529176;chr1:209538127-209538433;chr1:209542596-209542897;chr1:209556903-209557123;chr1:209557331-209557442;chr1:209562668-209562976;chr1:209577571-209577627;chr1:209578512-209578819;chr1:209579567-209579719;chr1:209585617-209585757;chr1:209589374-209589797;chr1:209590107-209590333;chr1:209591220-209591436;chr1:209827285-209827712;chr1:209829183-209829498;chr1:209831470-209831550;chr1:209989263-209989693,17
NM_000254,chr1,236958580,chr1:236957580-236959580,chr1:236579529-236579860;chr1:236580668-236580890;chr1:236698906-236699167,3
NM_000261,chr1,171621773,chr1:171620773-171622773,NA,0
NM_000298,chr1,155271225,chr1:155270225-155272225,chr1:155098409-155098801,1
NM_000299;NM_001005337,chr1,201252579,chr1:201251579-201253579,chr1:201236006-201236165;chr1:201244405-201244769;chr1:201246115-201246382;chr1:201277329-201277484;chr1:201280694-201280963;chr1:201295169-201295564;chr1:201366439-201366550,7
NM_000300;NM_001161727;NM_001161728,chr1,20306932,chr1:20305932-20307932,chr1:20091332-20091506,1
NM_000302,chr1,11994723,chr1:11993723-11995723,chr1:11990003-11990329,1
NM_000309;NM_001122764,chr1,161136170,chr1:161135170-161137170,chr1:160767869-160768231;chr1:161155098-161155533,2
NM_000310;NM_001142604,chr1,40563142,chr1:40562142-40564142,chr1:40331340-40331501;chr1:40402545-40402801;chr1:40860574-40860824,3
NM_000329,chr1,68915642,chr1:68914642-68916642,NA,0
NM_000350,chr1,94586705,chr1:94585705-94587705,NA,0
NM_000364;NM_001001430;NM_001001431;NM_001001432;NM_001276345;NM_001276346;NM_001276347,chr1,201346828,chr1:201345828-201347828,NA,0
NM_000374;NR_036510,chr1,45477804,chr1:45476804-45478804,NA,0
NM_000396,chr1,150780917,chr1:150779917-150781917,NA,0
NM_000403,chr1,24127034,chr1:24126034-24128034,NA,0
NM_000427,chr1,153232178,chr1:153231178-153233178,NA,0
NM_000433;NM_001190789;NM_001190794,chr1,183559739,chr1:183558739-183560739,chr1:183248987-183249454;chr1:183333168-183333467;chr1:183436030-183436225;chr1:183526698-183527308;chr1:183549376-183549721;chr1:183552584-183552988;chr1:183557915-183558504;chr1:183562649-183562759;chr1:183567713-183567879;chr1:183569908-183570014;chr1:183573035-183573933;chr1:183574112-183574386;chr1:183576409-183576668;chr1:183577563-183577895;chr1:183578502-183578873;chr1:183776671-183777014;chr1:183811794-183811833;chr1:183839940-183840077;chr1:183851593-183851811;chr1:183854555-183854702;chr1:183861530-183861762;chr1:183865521-183866190;chr1:183877295-183877615;chr1:183880519-183880826;chr1:183951471-183951644,25
NM_000437,chr1,26324648,chr1:26323648-26325648,chr1:26253326-26253427,1
NM_000447;NM_012486,chr1,227058272,chr1:227057272-227059272,chr1:226592689-226592838,1
NM_000449;NM_001025603,chr1,151319769,chr1:151318769-151320769,chr1:150949569-150950014;chr1:151249767-151250096;chr1:151284018-151284391,3
NM_000450,chr1,169703220,chr1:169702220-169704220,NA,0
NM_000478;NM_001127501;NM_001177520,chr1,21835850,chr1:21834850-21836850,chr1:21588829-21589430;chr1:21611199-21611583;chr1:21649091-21649481;chr1:21650806-21651685;chr1:21660622-21661187;chr1:21663991-21664182;chr1:21664400-21664833;chr1:21664947-21665143;chr1:21876659-21877005,9
NM_000488,chr1,173886516,chr1:173885516-173887516,NA,0
NM_000491,chr1,22979473,chr1:22978473-22980473,chr1:23178080-23178304,1
NM_000530;NM_001315491,chr1,161279762,chr1:161278762-161280762,NA,0
NM_000537,chr1,204135465,chr1:204134465-204136465,NA,0
NM_000549,chr1,115572444,chr1:115571444-115573444,NA,0
NM_000560,chr1,111415721,chr1:111414721-111416721,chr1:110927812-110928210;chr1:110963862-110964269;chr1:110976504-110976901;chr1:111162611-111162919;chr1:111170436-111170835;chr1:111171044-111171183;chr1:111177471-111177854;chr1:111182665-111183078;chr1:111188051-111188448;chr1:111189973-111190443;chr1:111191148-111191392;chr1:111191728-111191821;chr1:111212876-111213052;chr1:111230020-111230418;chr1:111249875-111250151;chr1:111251861-111252073;chr1:111255928-111256180;chr1:111262637-111262920;chr1:111265440-111265838;chr1:111417124-111417532;chr1:111467127-111467325;chr1:111735402-111735659;chr1:111735691-111736003;chr1:111764327-111764759,24
NM_000561;NM_146421,chr1,110230417,chr1:110229417-110231417,NA,0
NM_000562,chr1,57320442,chr1:57319442-57321442,chr1:57042744-57043185;chr1:57376305-57376674;chr1:57472428-57472552;chr1:57746875-57747249,4
NM_000565;NM_001206866;NM_181359,chr1,154377668,chr1:154376668-154378668,chr1:154391539-154392211;chr1:154392646-154393050;chr1:154395894-154396284;chr1:154397743-154397997;chr1:154404273-154404562;chr1:154405181-154405498;chr1:154405619-154406249;chr1:154724205-154724584;chr1:154731745-154732111,9
NM_000566,chr1,149754249,chr1:149753249-149755249,NA,0
NM_000567;NM_001329057;NM_001329058,chr1,159684379,chr1:159683379-159685379,NA,0
NM_000569;NM_001127592,chr1,161519893,chr1:161518893-161520893,chr1:161037907-161038726;chr1:161155098-161155533;chr1:161500608-161500899;chr1:161709776-161710006;chr1:161973588-161973892,5
NM_000570,chr1,161601753,chr1:161600753-161602753,chr1:161500608-161500899;chr1:161591982-161592107,2
NM_000572,chr1,206945839,chr1:206944839-206946839,chr1:206931189-206931520;chr1:206955889-206956132;chr1:206963959-206964120;chr1:206966600-206966901,4
NM_000573;NM_000651,chr1,207669472,chr1:207668472-207670472,chr1:207489914-207490291;chr1:207509006-207509478;chr1:207581369-207581474;chr1:207671434-207671825;chr1:207997315-207997832;chr1:207999163-207999611;chr1:208021631-208021781,7
NM_000574;NM_001114752,chr1,207494816,chr1:207493816-207495816,chr1:207025140-207025456;chr1:207032445-207032583;chr1:207032663-207032940;chr1:207063537-207063710;chr1:207413364-207413503;chr1:207414217-207414394;chr1:207489914-207490291;chr1:207509006-207509478;chr1:207581369-207581474;chr1:207671434-207671825,10
NM_000639,chr1,172628147,chr1:172627147-172629147,chr1:172142638-172142648;chr1:172606833-172606931;chr1:172631926-172632270;chr1:172666682-172666997;chr1:172667452-172667583;chr1:172673235-172673367;chr1:172863432-172863838,7
NM_000642,chr1,100315639,chr1:100314639-100316639,chr1:99935284-99935512;chr1:100138206-100138591,2
NM_000646,chr1,100316530,chr1:100315530-100317530,chr1:99935284-99935512;chr1:100138206-100138591,2
NM_000655,chr1,169680843,chr1:169679843-169681843,chr1:169661915-169662500,1
NM_000674;NM_001048230,chr1,203096835,chr1:203095835-203097835,chr1:203122696-203123081,1
NM_000677;NM_020683,chr1,112046743,chr1:112045743-112047743,chr1:112050044-112050594;chr1:112058341-112058601;chr1:112058803-112059167,3
NM_000696,chr1,165667900,chr1:165666900-165668900,NA,0
NM_000699,chr1,104159953,chr1:104158953-104160953,NA,0
NM_000701,chr1,116915794,chr1:116914794-116916794,chr1:116878887-116879201;chr1:116918925-116919548;chr1:116920378-116921129;chr1:116923407-116923493;chr1:117030831-117031034;chr1:117032033-117032296;chr1:117040346-117040781;chr1:117047053-117047428;chr1:117050808-117051139;chr1:117080047-117080432;chr1:117081238-117081452;chr1:117082797-117083071;chr1:117130518-117130699;chr1:117132073-117132239;chr1:117169735-117170114,15
NM_000702,chr1,160085519,chr1:160084519-160086519,chr1:160056214-160056779;chr1:160072097-160072234;chr1:160087563-160087915,3
NM_000707,chr1,206224280,chr1:206223280-206225280,NA,0
NM_000715,chr1,207277606,chr1:207276606-207278606,NA,0
NM_000716;NM_001017364,chr1,207262583,chr1:207261583-207263583,NA,0
NM_000721;NM_001205293;NM_001205294,chr1,181452685,chr1:181451685-181453685,chr1:181454376-181454805,1
NM_000734;NM_198053,chr1,167487847,chr1:167486847-167488847,chr1:167397572-167397954;chr1:167398939-167399085;chr1:167399403-167399506;chr1:167416331-167416548;chr1:167416859-167417570;chr1:167419889-167420655;chr1:167423404-167424221;chr1:167424728-167425462;chr1:167425853-167426232;chr1:167434195-167434584;chr1:167438624-167439122;chr1:167440766-167441089;chr1:167442775-167443139;chr1:167452876-167453237;chr1:167453750-167454075;chr1:167458424-167459120;chr1:167461792-167462175;chr1:167469090-167469185;chr1:167469653-167470005;chr1:167478725-167479215;chr1:167480005-167480498;chr1:167485764-167486128;chr1:167486210-167486705;chr1:167586596-167587245;chr1:167602083-167602470,25
NM_000740,chr1,239792372,chr1:239791372-239793372,NA,0
NM_000748,chr1,154540256,chr1:154539256-154541256,chr1:154302207-154302441,1
NM_000757;NM_172210;NM_172212,chr1,110453232,chr1:110452232-110454232,chr1:110333273-110333688;chr1:110335775-110336041;chr1:110336950-110337403;chr1:110339466-110339959;chr1:110364881-110365302;chr1:110366477-110366702;chr1:110406868-110407271;chr1:110444415-110444738;chr1:110454846-110455290;chr1:110879130-110879445,10
NM_000760;NM_156039;NM_172313,chr1,36948915,chr1:36947915-36949915,chr1:36616485-36616868;chr1:36617554-36617914;chr1:36626561-36626969;chr1:36627717-36628369;chr1:36814630-36815106;chr1:36825493-36825742;chr1:36839449-36839891;chr1:36840093-36840535;chr1:36849527-36849580;chr1:36940419-36940497;chr1:36952484-36952865,11
