chromosome,start,end,enhancer,count,length,s_entropy
chr1,1124600,1124942,chr1:1124600-1124942,1,343,9.643995895685043
chr1,1143531,1144198,chr1:1143531-1144198,1,668,10.586725292981157
chr1,1814762,1815124,chr1:1814762-1815124,1,363,9.792655283556073
chr1,2221868,2222548,chr1:2221868-2222548,1,681,10.593774065866723
chr1,2501788,2502413,chr1:2501788-2502413,1,626,10.513638464562016
chr1,2505035,2505361,chr1:2505035-2505361,1,327,9.559893631048496
chr1,2772559,2772713,chr1:2772559-2772713,1,155,8.377179348379457
chr1,3233109,3233475,chr1:3233109-3233475,1,367,8.724141279149602
chr1,3374928,3375314,chr1:3374928-3375314,1,387,9.901120614023048
chr1,3420761,3421065,chr1:3420761-3421065,1,305,9.415916624702913
chr1,4327537,4327841,chr1:4327537-4327841,1,305,9.540216011367326
chr1,5160051,5160190,chr1:5160051-5160190,1,140,8.368220968188396
chr1,5172646,5173061,chr1:5172646-5173061,1,416,9.960080233084115
chr1,6088225,6088518,chr1:6088225-6088518,1,294,9.459347357278906
chr1,6373523,6373899,chr1:6373523-6373899,1,377,9.788528928344144
chr1,6661008,6661639,chr1:6661008-6661639,2,632,10.532047374895486
chr1,7538871,7539273,chr1:7538871-7539273,1,403,9.875025192000862
chr1,7609389,7609632,chr1:7609389-7609632,1,244,9.21336621226835
chr1,7656791,7657175,chr1:7656791-7657175,1,385,9.880431568207701
chr1,8070132,8070398,chr1:8070132-8070398,1,267,9.293786986502699
chr1,8107848,8108157,chr1:8107848-8108157,2,310,9.553704162692496
chr1,8686491,8686867,chr1:8686491-8686867,1,377,9.837436574940988
chr1,8690020,8690153,chr1:8690020-8690153,1,134,8.320066056779226
chr1,8933581,8933925,chr1:8933581-8933925,2,345,9.770544213765326
chr1,8971325,8971721,chr1:8971325-8971721,1,397,9.942817675031057
chr1,9223907,9224260,chr1:9223907-9224260,1,354,9.723880742548046
chr1,9291783,9292106,chr1:9291783-9292106,1,324,9.55286423091718
chr1,9293549,9293739,chr1:9293549-9293739,1,191,8.863986151358755
chr1,10695291,10695734,chr1:10695291-10695734,1,444,9.980860571051826
chr1,11376903,11377179,chr1:11376903-11377179,1,277,9.295731641837257
chr1,11410602,11410834,chr1:11410602-11410834,1,233,9.124716046601904
chr1,11415566,11415939,chr1:11415566-11415939,2,374,9.86309158444589
chr1,11559549,11559947,chr1:11559549-11559947,1,399,9.886741941492643
chr1,11798209,11798600,chr1:11798209-11798600,1,392,9.95015193638278
chr1,11968510,11969143,chr1:11968510-11969143,1,634,10.482439039728638
chr1,12124472,12125118,chr1:12124472-12125118,1,647,10.650960181077137
chr1,12213128,12213883,chr1:12213128-12213883,1,756,10.826975365849975
chr1,12233600,12234159,chr1:12233600-12234159,1,560,10.395051951211428
chr1,12237719,12238747,chr1:12237719-12238747,2,1029,11.20406111673527
chr1,12240401,12240902,chr1:12240401-12240902,1,502,10.235958088316242
chr1,12513404,12513748,chr1:12513404-12513748,1,345,9.663958474252741
chr1,12781566,12781783,chr1:12781566-12781783,1,218,9.05179520316784
chr1,13931629,13932064,chr1:13931629-13932064,1,436,9.853129552901917
chr1,13949833,13950153,chr1:13949833-13950153,1,321,9.556201846463685
chr1,14027926,14028325,chr1:14027926-14028325,1,400,9.902978511490604
chr1,14029077,14029879,chr1:14029077-14029879,4,803,10.889105177141493
chr1,14154959,14155163,chr1:14154959-14155163,1,205,8.921543370872962
chr1,14590335,14590448,chr1:14590335-14590448,1,114,8.07904118059165
chr1,14848264,14848527,chr1:14848264-14848527,1,264,9.306973700877096
chr1,15032293,15032599,chr1:15032293-15032599,1,307,9.530410809111187
chr1,15144272,15144506,chr1:15144272-15144506,1,235,9.107288802122811
chr1,15416988,15417263,chr1:15416988-15417263,2,276,9.341576919984563
chr1,15585949,15586132,chr1:15585949-15586132,1,184,8.757492758518753
chr1,15664580,15664866,chr1:15664580-15664866,2,287,9.47351237632215
chr1,15666999,15667145,chr1:15666999-15667145,1,147,8.437356028386422
chr1,15738146,15738632,chr1:15738146-15738632,1,487,10.196897545281178
chr1,15742467,15743324,chr1:15742467-15743324,1,858,11.051490444229557
chr1,15786440,15786713,chr1:15786440-15786713,1,274,9.339274884466805
chr1,16176617,16176801,chr1:16176617-16176801,1,185,8.73741524321753
chr1,16677236,16677843,chr1:16677236-16677843,1,608,10.347435980992941
chr1,16826315,16826438,chr1:16826315-16826438,2,124,8.008377912514549
chr1,17019394,17019738,chr1:17019394-17019738,1,345,9.520432091295081
chr1,17353741,17353845,chr1:17353741-17353845,1,105,8.001109625763963
chr1,17425016,17425355,chr1:17425016-17425355,3,340,9.663947190909463
chr1,17454855,17455288,chr1:17454855-17455288,1,434,10.003674616791983
chr1,17956441,17957463,chr1:17956441-17957463,1,1023,11.266187862019493
chr1,19360402,19360809,chr1:19360402-19360809,2,408,9.94613443226435
chr1,19762527,19762798,chr1:19762527-19762798,1,272,9.2742574478487
chr1,19803913,19804113,chr1:19803913-19804113,1,201,8.898989761261737
chr1,20881978,20882230,chr1:20881978-20882230,1,253,9.294264606988094
chr1,20993397,20993558,chr1:20993397-20993558,1,162,8.67977462345206
chr1,21348947,21349299,chr1:21348947-21349299,1,353,9.72533056600177
chr1,21475659,21476054,chr1:21475659-21476054,1,396,9.806843294414724
chr1,21588829,21589430,chr1:21588829-21589430,1,602,10.504092101030455
chr1,21611199,21611583,chr1:21611199-21611583,1,385,9.891478882113722
chr1,22231370,22231630,chr1:22231370-22231630,1,261,9.274094327976794
chr1,22366226,22366841,chr1:22366226-22366841,1,616,10.567222979481734
chr1,22863291,22863389,chr1:22863291-22863389,1,99,7.812592836370267
chr1,23916918,23917225,chr1:23916918-23917225,1,308,9.57884216365199
chr1,24063897,24064210,chr1:24063897-24064210,1,314,9.349986119417345
chr1,24519628,24519970,chr1:24519628-24519970,1,343,9.726863078098878
chr1,24854734,24855006,chr1:24854734-24855006,2,273,9.283361397675545
chr1,25021969,25022194,chr1:25021969-25022194,1,226,9.12620651637049
chr1,25251631,25252076,chr1:25251631-25252076,1,446,10.082195471389937
chr1,25347909,25348138,chr1:25347909-25348138,1,230,9.180490373558014
chr1,25360165,25361177,chr1:25360165-25361177,1,1013,11.238314351629839
chr1,25566195,25566411,chr1:25566195-25566411,1,217,8.913982394529762
chr1,25665993,25666367,chr1:25665993-25666367,1,375,9.795473918532046
chr1,26615016,26615421,chr1:26615016-26615421,1,406,9.966031226558789
chr1,26616527,26617019,chr1:26616527-26617019,1,493,10.215870042187202
chr1,26678060,26678317,chr1:26678060-26678317,1,258,9.242772062240306
chr1,26933734,26933982,chr1:26933734-26933982,1,249,9.243999648571846
chr1,27185755,27186143,chr1:27185755-27186143,1,389,9.870924685681024
chr1,27400779,27401092,chr1:27400779-27401092,1,314,9.617344879805197
chr1,27462835,27462988,chr1:27462835-27462988,1,154,8.611395012640182
chr1,27691785,27692261,chr1:27691785-27692261,1,477,10.0789486554261
chr1,27890194,27890387,chr1:27890194-27890387,1,194,8.939477823675082
chr1,27935491,27936061,chr1:27935491-27936061,2,571,10.266320136100854
chr1,27985869,27985982,chr1:27985869-27985982,1,114,8.182724589357964
chr1,28433172,28433306,chr1:28433172-28433306,2,135,8.412292034771369
chr1,28641770,28641993,chr1:28641770-28641993,1,224,9.032890529469158
chr1,29195388,29195583,chr1:29195388-29195583,1,196,8.932349814626237
chr1,30446180,30446480,chr1:30446180-30446480,1,301,9.523364763163196
chr1,31216468,31217229,chr1:31216468-31217229,2,762,10.82981580848446
chr1,31223594,31223943,chr1:31223594-31223943,1,350,9.733763312106536
chr1,31232736,31232923,chr1:31232736-31232923,1,188,8.75858344243024
chr1,32180603,32180986,chr1:32180603-32180986,1,384,9.801535664889967
chr1,32314121,32314597,chr1:32314121-32314597,1,477,10.130052513502193
chr1,32421622,32422096,chr1:32421622-32422096,2,475,10.21711599994168
chr1,32423598,32423720,chr1:32423598-32423720,1,123,8.23533225257425
chr1,32729476,32729672,chr1:32729476-32729672,1,197,8.793103949140223
chr1,33225777,33226084,chr1:33225777-33226084,1,308,9.503144998799472
chr1,33284832,33285123,chr1:33284832-33285123,1,292,9.366199934948648
chr1,33427851,33428169,chr1:33427851-33428169,1,319,9.593485732322016
chr1,33438571,33438703,chr1:33438571-33438703,1,133,8.23508249290345
chr1,33446816,33447482,chr1:33446816-33447482,2,667,10.633654467846098
chr1,33448758,33448929,chr1:33448758-33448929,1,172,8.650690292726175
chr1,33454783,33455472,chr1:33454783-33455472,1,690,10.69093015810244
chr1,33515825,33516245,chr1:33515825-33516245,1,421,9.972346118670897
chr1,33685276,33685676,chr1:33685276-33685676,1,401,9.982350951673402
chr1,35953903,35954237,chr1:35953903-35954237,1,335,9.643718984883751
chr1,36489072,36489418,chr1:36489072-36489418,1,347,9.675947551996659
chr1,36849527,36849580,chr1:36849527-36849580,1,54,7.084133557851902
chr1,36877889,36878288,chr1:36877889-36878288,1,400,9.767948722673657
chr1,36952484,36952865,chr1:36952484-36952865,1,382,9.813212613105646
chr1,37721552,37721986,chr1:37721552-37721986,1,435,10.082548097139497
chr1,37784198,37784531,chr1:37784198-37784531,1,334,9.533820760254976
chr1,37937293,37937526,chr1:37937293-37937526,1,234,9.14016029275318
chr1,38009784,38010404,chr1:38009784-38010404,1,621,10.408132362807395
chr1,38010731,38010979,chr1:38010731-38010979,3,249,9.246262669034689
chr1,38287158,38287399,chr1:38287158-38287399,2,242,9.191264739982843
chr1,38311465,38311868,chr1:38311465-38311868,1,404,9.892945041703259
chr1,38317043,38317898,chr1:38317043-38317898,1,856,11.04403921464731
chr1,38948025,38948274,chr1:38948025-38948274,1,250,9.212181723731174
chr1,38958971,38959191,chr1:38958971-38959191,1,221,9.075243494728934
chr1,40005546,40005959,chr1:40005546-40005959,1,414,9.964371470345789
chr1,40606256,40606595,chr1:40606256-40606595,1,340,9.608451061804114
chr1,40805764,40805964,chr1:40805764-40805964,1,201,8.925591722164146
chr1,40841336,40841595,chr1:40841336-40841595,1,260,9.307275472700134
chr1,41005233,41005440,chr1:41005233-41005440,1,208,8.9126191679871
chr1,41164800,41165075,chr1:41164800-41165075,1,276,9.378068960070758
chr1,41825927,41826139,chr1:41825927-41826139,1,213,8.99965205018192
chr1,41915297,41915638,chr1:41915297-41915638,1,342,9.73501082057096
chr1,42192975,42193489,chr1:42192975-42193489,1,515,10.266302434176797
chr1,42206832,42207209,chr1:42206832-42207209,1,378,9.867494007224844
chr1,42275404,42275646,chr1:42275404-42275646,1,243,9.207652697386866
chr1,42328578,42328878,chr1:42328578-42328878,1,301,9.48778651000704
chr1,42385609,42385954,chr1:42385609-42385954,1,346,9.652979808216658
chr1,42934748,42935131,chr1:42934748-42935131,1,384,9.834656951730167
chr1,43405621,43405821,chr1:43405621-43405821,1,201,8.78798957787323
chr1,43428386,43429108,chr1:43428386-43429108,1,723,10.78488421804848
chr1,43997843,43998152,chr1:43997843-43998152,1,310,9.584344859247286
chr1,44176533,44177122,chr1:44176533-44177122,1,590,10.443651463642277
chr1,44973431,44973656,chr1:44973431-44973656,2,226,9.117513081500967
chr1,44984751,44985020,chr1:44984751-44985020,1,270,9.30719853176964
chr1,45083225,45083530,chr1:45083225-45083530,1,306,9.548951876835254
chr1,45085192,45085548,chr1:45085192-45085548,1,357,9.73283194000667
chr1,46010722,46010902,chr1:46010722-46010902,1,181,8.827627890265578
chr1,46351629,46351956,chr1:46351629-46351956,3,328,9.475891950985481
chr1,46637172,46637331,chr1:46637172-46637331,1,160,8.554255394255689
chr1,46796624,46796901,chr1:46796624-46796901,1,278,9.314316524653778
chr1,49032892,49033158,chr1:49032892-49033158,1,267,9.383515290429292
chr1,49430429,49430657,chr1:49430429-49430657,1,229,9.138477480239898
chr1,51757763,51757925,chr1:51757763-51757925,1,163,8.594874621128517
chr1,53588397,53588520,chr1:53588397-53588520,1,124,8.230347930067392
chr1,54953784,54954325,chr1:54953784-54954325,1,542,10.169430586423166
chr1,55436992,55437436,chr1:55436992-55437436,1,445,10.036282684061357
chr1,55753963,55754247,chr1:55753963-55754247,2,285,9.36819800140175
chr1,55840427,55840729,chr1:55840427-55840729,1,303,9.513695505022902
chr1,56972242,56972492,chr1:56972242-56972492,1,251,9.239615336956494
chr1,56976994,56977444,chr1:56976994-56977444,4,451,10.08409551159713
chr1,57042744,57043185,chr1:57042744-57043185,1,442,10.088908667434897
chr1,57043287,57044160,chr1:57043287-57044160,1,874,11.010820383212186
