chromosome,start,end,count,gene
chr1,860120,862120,2,SAMD11
chr1,893679,895679,1,NOC2L
chr1,900876,902876,1,PLEKHN1
chr1,916497,918497,2,PERM1
chr1,947846,949846,2,ISG15
chr1,1008687,1010687,1,RNF223
chr1,1108285,1110285,3,TTLL10
chr1,1259067,1261067,1,INTS11
chr1,1259142,1261142,1,CPTP
chr1,1265725,1267725,1,TAS1R3
chr1,1297921,1299921,1,MXRA8
chr1,1341693,1343693,2,MRPL20
chr1,1355824,1357824,1,ANKRD65
chr1,1360507,1362507,2,TMEM88B
chr1,1509262,1511262,2,SSU72
chr1,1549794,1551794,1,MIB2
chr1,1934276,1936276,1,CFAP74
chr1,2322190,2324190,1,MORN1
chr1,2322213,2324213,1,RER1
chr1,2397897,2399897,1,PLCH2
chr1,2563481,2565481,3,MMEL1
chr1,2705230,2707230,1,TTC34
chr1,2937045,2939045,3,ACTRT2
chr1,3540555,3542555,1,TPRG1L
chr1,3772797,3774797,1,CEP104
chr1,3772830,3774830,1,DFFB
chr1,6085072,6087072,2,KCNAB2
chr1,6093347,6095347,3,KCNAB2
chr1,6295044,6297044,3,ICMT
chr1,6483847,6485847,1,ESPN
chr1,6550761,6552761,1,PLEKHG5
chr1,6556484,6558484,1,PLEKHG5
chr1,6639050,6641050,1,ZBTB48
chr1,6661958,6663958,1,KLHL21
chr1,6672755,6674755,1,PHF13
chr1,6760966,6762966,2,DNAJC11
chr1,8085393,8087393,1,ERRFI1
chr1,8377144,8379144,1,SLC45A1
chr1,8876699,8878699,2,RERE
chr1,8938151,8940151,1,ENO1
chr1,9004892,9006892,2,CA6
chr1,9128887,9130887,2,SLC2A5
chr1,9188229,9190229,1,GPR157
chr1,9298902,9300902,1,H6PD
chr1,9710788,9712788,1,PIK3CD
chr1,9969316,9971316,1,CTNNBIP1
chr1,10001980,10003980,1,NMNAT1
chr1,10002485,10004485,1,LZIC
chr1,10056254,10058254,1,RBP7
chr1,10092040,10094040,1,UBE4B
chr1,10458048,10460048,1,PGD
chr1,10489158,10491158,1,CENPS
