chromosome,start,end,count,length
chr1,68090,70090,0,2001
chr1,366658,368658,0,2001
chr1,621034,623034,0,2001
chr1,860120,862120,2,2001
chr1,893679,895679,1,2001
chr1,894966,896966,0,2001
chr1,900876,902876,1,2001
chr1,916497,918497,2,2001
chr1,934552,936552,0,2001
chr1,947846,949846,2,2001
chr1,954502,956502,0,2001
chr1,1008687,1010687,1,2001
chr1,1050736,1052736,0,2001
chr1,1108285,1110285,3,2001
chr1,1114076,1116076,0,2001
chr1,1141089,1143089,0,2001
chr1,1148548,1150548,0,2001
chr1,1166447,1168447,0,2001
chr1,1166628,1168628,0,2001
chr1,1181102,1183102,0,2001
chr1,1208234,1210234,0,2001
chr1,1214815,1216815,0,2001
chr1,1242269,1244269,0,2001
chr1,1242959,1244959,0,2001
chr1,1259067,1261067,1,2001
chr1,1259142,1261142,1,2001
chr1,1265725,1267725,1,2001
chr1,1283492,1285492,0,2001
chr1,1293174,1295174,0,2001
chr1,1297921,1299921,1,2001
chr1,1309580,1311580,0,2001
chr1,1309818,1311818,0,2001
chr1,1333722,1335722,0,2001
chr1,1341693,1343693,2,2001
chr1,1355824,1357824,1,2001
chr1,1360507,1362507,2,2001
chr1,1369902,1371902,0,2001
chr1,1384068,1386068,0,2001
chr1,1406134,1408134,0,2001
chr1,1412494,1414494,0,2001
chr1,1446522,1448522,0,2001
chr1,1474740,1476740,0,2001
chr1,1509262,1511262,2,2001
chr1,1534476,1536476,0,2001
chr1,1549794,1551794,1,2001
chr1,1566559,1568559,0,2001
chr1,1623243,1625243,0,2001
chr1,1654859,1656859,0,2001
chr1,1655004,1657004,0,2001
chr1,1676438,1678438,0,2001
chr1,1708909,1710909,0,2001
chr1,1709297,1711297,0,2001
chr1,1821556,1823556,0,2001
chr1,1845265,1847265,0,2001
chr1,1849740,1851740,0,2001
chr1,1934276,1936276,1,2001
chr1,1949767,1951767,0,2001
chr1,1980908,1982908,0,2001
chr1,2003900,2005900,0,2001
chr1,2125214,2127214,0,2001
chr1,2138172,2140172,0,2001
chr1,2159133,2161133,0,2001
chr1,2322190,2324190,1,2001
chr1,2322213,2324213,1,2001
chr1,2343010,2345010,0,2001
chr1,2397897,2399897,1,2001
chr1,2406753,2408753,0,2001
chr1,2457067,2459067,0,2001
chr1,2460684,2462684,0,2001
chr1,2486803,2488803,0,2001
chr1,2517188,2519188,0,2001
chr1,2563481,2565481,3,2001
chr1,2705230,2707230,1,2001
chr1,2937045,2939045,3,2001
chr1,2984741,2986741,0,2001
chr1,3370146,3372146,0,2001
chr1,3527059,3529059,0,2001
chr1,3540555,3542555,1,2001
chr1,3565671,3567671,0,2001
chr1,3568128,3570128,0,2001
chr1,3606235,3608235,0,2001
chr1,3667964,3669964,0,2001
chr1,3688350,3690350,0,2001
chr1,3712068,3714068,0,2001
chr1,3772797,3774797,1,2001
chr1,3772830,3774830,1,2001
chr1,3815857,3817857,0,2001
chr1,4714104,4716104,0,2001
chr1,6051533,6053533,0,2001
chr1,6085072,6087072,2,2001
chr1,6093347,6095347,3,2001
chr1,6239194,6241194,0,2001
chr1,6258679,6260679,0,2001
chr1,6265188,6267188,0,2001
chr1,6295044,6297044,3,2001
