chromosome,start,end,promoter,count,length,s_entropy
chr1,860120,862120,chr1:860120-862120,2,2001,12.289083875899504
chr1,893679,895679,chr1:893679-895679,1,2001,12.246577723613472
chr1,900876,902876,chr1:900876-902876,1,2001,12.303996744448781
chr1,916497,918497,chr1:916497-918497,2,2001,12.291922522138114
chr1,947846,949846,chr1:947846-949846,2,2001,12.261867082188129
chr1,1008687,1010687,chr1:1008687-1010687,1,2001,12.23427157006474
chr1,1108285,1110285,chr1:1108285-1110285,3,2001,12.288827900027602
chr1,1259067,1261067,chr1:1259067-1261067,1,2001,12.042060852339638
chr1,1259142,1261142,chr1:1259142-1261142,1,2001,12.044821751746202
chr1,1265725,1267725,chr1:1265725-1267725,1,2001,12.29792968797463
chr1,1297921,1299921,chr1:1297921-1299921,1,2001,12.00044923553928
chr1,1341693,1343693,chr1:1341693-1343693,2,2001,12.265082659510433
chr1,1355824,1357824,chr1:1355824-1357824,1,2001,12.298706827178451
chr1,1360507,1362507,chr1:1360507-1362507,2,2001,12.300815193104407
chr1,1509262,1511262,chr1:1509262-1511262,2,2001,12.245255258674899
chr1,1549794,1551794,chr1:1549794-1551794,1,2001,12.256080451680988
chr1,1934276,1936276,chr1:1934276-1936276,1,2001,12.124000129388344
chr1,2322190,2324190,chr1:2322190-2324190,1,2001,12.27495860227659
chr1,2322213,2324213,chr1:2322213-2324213,1,2001,12.27502414901245
chr1,2397897,2399897,chr1:2397897-2399897,1,2001,12.282442642373885
chr1,2563481,2565481,chr1:2563481-2565481,3,2001,12.292714424887203
chr1,2705230,2707230,chr1:2705230-2707230,1,2001,12.269601925061867
chr1,2937045,2939045,chr1:2937045-2939045,3,2001,12.294087767699654
chr1,3540555,3542555,chr1:3540555-3542555,1,2001,12.27956759000936
chr1,3772797,3774797,chr1:3772797-3774797,1,2001,12.263333977472863
chr1,3772830,3774830,chr1:3772830-3774830,1,2001,12.264971899957663
chr1,6085072,6087072,chr1:6085072-6087072,2,2001,12.093164800214494
chr1,6093347,6095347,chr1:6093347-6095347,3,2001,12.225023002752733
chr1,6295044,6297044,chr1:6295044-6297044,3,2001,12.251339594076567
chr1,6483847,6485847,chr1:6483847-6485847,1,2001,12.284746898902267
chr1,6550761,6552761,chr1:6550761-6552761,1,2001,12.287404641332156
chr1,6556484,6558484,chr1:6556484-6558484,1,2001,12.303425483596408
chr1,6639050,6641050,chr1:6639050-6641050,1,2001,12.282445440262
chr1,6661958,6663958,chr1:6661958-6663958,1,2001,12.253195621081396
chr1,6672755,6674755,chr1:6672755-6674755,1,2001,12.251348853313406
chr1,6760966,6762966,chr1:6760966-6762966,2,2001,12.255800835147992
chr1,8085393,8087393,chr1:8085393-8087393,1,2001,12.151120445415073
chr1,8377144,8379144,chr1:8377144-8379144,1,2001,12.26762147551586
chr1,8876699,8878699,chr1:8876699-8878699,2,2001,12.223599419885835
chr1,8938151,8940151,chr1:8938151-8940151,1,2001,12.264495908087932
chr1,9004892,9006892,chr1:9004892-9006892,2,2001,12.259962264977005
chr1,9128887,9130887,chr1:9128887-9130887,2,2001,12.233265597863594
chr1,9188229,9190229,chr1:9188229-9190229,1,2001,12.23026991271979
chr1,9298902,9300902,chr1:9298902-9300902,1,2001,12.260347162651804
chr1,9710788,9712788,chr1:9710788-9712788,1,2001,12.271193771176176
chr1,9969316,9971316,chr1:9969316-9971316,1,2001,12.264244009740828
chr1,10001980,10003980,chr1:10001980-10003980,1,2001,12.257294361651716
chr1,10002485,10004485,chr1:10002485-10004485,1,2001,12.260274340472542
chr1,10056254,10058254,chr1:10056254-10058254,1,2001,12.245976215014979
chr1,10092040,10094040,chr1:10092040-10094040,1,2001,12.267420181722498
chr1,10458048,10460048,chr1:10458048-10460048,1,2001,12.277917253767695
chr1,10489158,10491158,chr1:10489158-10491158,1,2001,12.259441016335066
chr1,10508775,10510775,chr1:10508775-10510775,1,2001,12.19128888527919
chr1,10534002,10536002,chr1:10534002-10536002,1,2001,12.258673961234546
chr1,11041094,11043094,chr1:11041094-11043094,1,2001,12.231518198858566
chr1,11106296,11108296,chr1:11106296-11108296,1,2001,12.272297360488313
chr1,11119091,11121091,chr1:11119091-11121091,1,2001,12.265106024558168
chr1,11248345,11250345,chr1:11248345-11250345,1,2001,12.247460448913783
