chromosome,start,end,enhancer,count,length,s_entropy
chr1,956563,956812,chr1:956563-956812,1,250,8.29073956009798
chr1,1063914,1064111,chr1:1063914-1064111,1,198,7.983803815244009
chr1,1136075,1136463,chr1:1136075-1136463,1,389,8.941930215777479
chr1,1143531,1144198,chr1:1143531-1144198,1,668,9.692071966049816
chr1,1714020,1714715,chr1:1714020-1714715,1,696,9.746095524916957
chr1,1840449,1840835,chr1:1840449-1840835,1,387,8.947169830395442
chr1,2082729,2083012,chr1:2082729-2083012,1,284,8.509548951052915
chr1,2171824,2171946,chr1:2171824-2171946,1,123,7.293178997573577
chr1,2230678,2230895,chr1:2230678-2230895,1,218,8.071849800978441
chr1,2231691,2232185,chr1:2231691-2232185,1,495,9.24295779465447
chr1,2501788,2502413,chr1:2501788-2502413,1,626,9.648270411394192
chr1,2989176,2989511,chr1:2989176-2989511,1,336,8.749649329225708
chr1,3086923,3087330,chr1:3086923-3087330,1,408,8.972684769900868
chr1,3133891,3134283,chr1:3133891-3134283,1,393,8.961797792437697
chr1,3233109,3233475,chr1:3233109-3233475,1,367,7.901261094136218
chr1,3590266,3590494,chr1:3590266-3590494,1,229,8.129663619072812
chr1,6351007,6351537,chr1:6351007-6351537,1,531,9.36337882676106
chr1,7327634,7328033,chr1:7327634-7328033,1,400,8.903515168193792
chr1,8157417,8157780,chr1:8157417-8157780,1,364,8.871498263900603
chr1,8272041,8272390,chr1:8272041-8272390,1,350,8.812061684807361
chr1,8487656,8487917,chr1:8487656-8487917,1,262,8.320591634400772
chr1,8858188,8858497,chr1:8858188-8858497,1,310,8.54160820056096
chr1,9030064,9030418,chr1:9030064-9030418,1,355,8.80159237584656
chr1,9535183,9535425,chr1:9535183-9535425,1,243,8.278847004977063
chr1,9689223,9689588,chr1:9689223-9689588,1,366,8.744387986276545
chr1,10816030,10816223,chr1:10816030-10816223,1,194,7.946577514614655
chr1,10927237,10927380,chr1:10927237-10927380,1,144,7.752749889965056
chr1,11798209,11798600,chr1:11798209-11798600,1,392,8.895811420518793
chr1,11968510,11969143,chr1:11968510-11969143,1,634,9.632819049905915
chr1,12232096,12232448,chr1:12232096-12232448,1,353,8.716880762772895
chr1,12233600,12234159,chr1:12233600-12234159,1,560,9.393585741459058
chr1,12600525,12600853,chr1:12600525-12600853,1,329,8.681513959300164
chr1,13917058,13917313,chr1:13917058-13917313,1,256,8.268646753682063
chr1,14029077,14029879,chr1:14029077-14029879,1,803,10.097471238139546
chr1,14154959,14155163,chr1:14154959-14155163,1,205,8.085576968188356
chr1,15616896,15617243,chr1:15616896-15617243,1,348,8.78178256413616
chr1,16366462,16366839,chr1:16366462-16366839,2,378,8.86684304446313
chr1,16478939,16479163,chr1:16478939-16479163,1,225,8.024812655400268
chr1,17454855,17455288,chr1:17454855-17455288,1,434,9.10413002251823
chr1,19803336,19803680,chr1:19803336-19803680,1,345,8.742383500397493
chr1,20930711,20931037,chr1:20930711-20931037,1,327,8.67889953176988
chr1,21611199,21611583,chr1:21611199-21611583,1,385,8.870098719688418
chr1,22611972,22612241,chr1:22611972-22612241,1,270,8.427408448683764
chr1,23918101,23918449,chr1:23918101-23918449,1,349,8.708060677274576
chr1,24691833,24692082,chr1:24691833-24692082,1,250,8.361616542177021
chr1,25251631,25252076,chr1:25251631-25252076,1,446,9.123002389208489
chr1,25292573,25292807,chr1:25292573-25292807,1,235,8.170855653269617
chr1,25353190,25353411,chr1:25353190-25353411,1,222,8.125251446577632
chr1,25357926,25358422,chr1:25357926-25358422,1,497,9.16548843994974
chr1,26249033,26249281,chr1:26249033-26249281,1,249,8.369353261488177
chr1,26319994,26320468,chr1:26319994-26320468,1,475,9.270593369314838
chr1,26453982,26454320,chr1:26453982-26454320,1,339,8.849640677760952
chr1,26683687,26684084,chr1:26683687-26684084,1,398,8.876186780675278
chr1,26947342,26948198,chr1:26947342-26948198,1,857,10.124081254433122
chr1,27024638,27025138,chr1:27024638-27025138,1,501,9.35780482879851
chr1,27154983,27155478,chr1:27154983-27155478,1,496,9.183461346580241
chr1,27321452,27321840,chr1:27321452-27321840,1,389,8.876347500308649
chr1,27916292,27916674,chr1:27916292-27916674,1,383,8.844308540425343
chr1,28201800,28202156,chr1:28201800-28202156,1,357,8.843483251652135
chr1,28440576,28440976,chr1:28440576-28440976,2,401,8.935217953357583
chr1,28449970,28450467,chr1:28449970-28450467,1,498,9.325119700130518
chr1,28486078,28486440,chr1:28486078-28486440,1,363,8.898097575510157
chr1,31216468,31217229,chr1:31216468-31217229,2,762,9.826783895424699
chr1,31218107,31218539,chr1:31218107-31218539,1,433,9.006047895782094
chr1,31227443,31228328,chr1:31227443-31228328,1,886,10.095684409262864
chr1,31235457,31235817,chr1:31235457-31235817,1,361,8.744769410605894
chr1,32015159,32015590,chr1:32015159-32015590,2,432,9.132721332032713
chr1,32166698,32166999,chr1:32166698-32166999,1,302,8.462963323242114
chr1,32314121,32314597,chr1:32314121-32314597,1,477,9.19295352021074
chr1,32805161,32805466,chr1:32805161-32805466,1,306,8.577341714245202
chr1,33515825,33516245,chr1:33515825-33516245,1,421,9.136450023066729
chr1,33685276,33685676,chr1:33685276-33685676,1,401,8.8649013457001
chr1,33926622,33926854,chr1:33926622-33926854,1,233,8.091299049284617
chr1,35389087,35389416,chr1:35389087-35389416,1,330,8.613980630270806
chr1,35953903,35954237,chr1:35953903-35954237,1,335,8.849156819841392
chr1,37942874,37943354,chr1:37942874-37943354,1,481,9.142002482254542
chr1,40426190,40426638,chr1:40426190-40426638,1,449,9.119867901329668
chr1,40561233,40561752,chr1:40561233-40561752,1,520,9.397297439771043
chr1,41564044,41564297,chr1:41564044-41564297,1,254,8.553662721822654
chr1,41650800,41651168,chr1:41650800-41651168,1,369,8.834734699732726
chr1,41885108,41885337,chr1:41885108-41885337,1,230,8.11755661871494
chr1,41952015,41952273,chr1:41952015-41952273,1,259,8.310095401999643
chr1,42127851,42128791,chr1:42127851-42128791,2,941,10.316976128773446
chr1,42204580,42205516,chr1:42204580-42205516,1,937,10.174281750529312
chr1,42512214,42512486,chr1:42512214-42512486,1,273,8.42844567192816
chr1,43400932,43401203,chr1:43400932-43401203,1,272,8.387847365363985
chr1,43402778,43403133,chr1:43402778-43403133,1,356,8.900535367834113
chr1,43405621,43405821,chr1:43405621-43405821,1,201,7.849719081474461
chr1,43406108,43407009,chr1:43406108-43407009,1,902,10.128853556800546
chr1,43427522,43427762,chr1:43427522-43427762,1,241,8.099475318746128
chr1,46632893,46633236,chr1:46632893-46633236,1,344,8.754083652412676
chr1,46637172,46637331,chr1:46637172-46637331,1,160,7.6228595887423944
chr1,48224075,48224507,chr1:48224075-48224507,1,433,9.083600734168753
chr1,48484635,48484856,chr1:48484635-48484856,1,222,8.069540906173591
chr1,51757763,51757925,chr1:51757763-51757925,1,163,7.759787422670475
chr1,53102510,53103405,chr1:53102510-53103405,1,896,10.16740983424097
chr1,53589395,53589613,chr1:53589395-53589613,1,219,8.082228547098678
chr1,59228706,59229186,chr1:59228706-59229186,1,481,9.211604985782255
chr1,59229881,59230252,chr1:59229881-59230252,1,372,8.88825811774267
chr1,59278592,59278937,chr1:59278592-59278937,1,346,8.660056126772819
chr1,59281873,59282217,chr1:59281873-59282217,1,345,8.847893386520996
chr1,60598724,60598934,chr1:60598724-60598934,1,211,8.074890287903642
chr1,61478973,61479215,chr1:61478973-61479215,1,243,8.15769049429186
chr1,61522505,61523042,chr1:61522505-61523042,1,538,9.396689021745942
chr1,61918819,61919182,chr1:61918819-61919182,1,364,8.86118601720526
chr1,62416847,62417238,chr1:62416847-62417238,2,392,8.983043754801479
chr1,64496116,64496488,chr1:64496116-64496488,1,373,9.041417296619425
chr1,64500766,64501176,chr1:64500766-64501176,1,411,9.03808683368078
chr1,65553179,65553575,chr1:65553179-65553575,1,397,9.049487567854984
chr1,66277656,66278058,chr1:66277656-66278058,1,403,8.94582485219679
chr1,66800202,66800555,chr1:66800202-66800555,1,354,8.846665963986895
chr1,66815726,66816360,chr1:66815726-66816360,1,635,9.680294395148536
chr1,68285768,68286070,chr1:68285768-68286070,1,303,8.593805140242024
chr1,69441381,69441536,chr1:69441381-69441536,1,156,7.730829323370176
chr1,70418678,70418852,chr1:70418678-70418852,1,175,7.869526023781392
chr1,70507902,70508588,chr1:70507902-70508588,1,687,9.984585322083772
chr1,75540470,75540780,chr1:75540470-75540780,1,311,8.630367528521889
chr1,77165935,77166101,chr1:77165935-77166101,1,167,7.828619374616457
chr1,79215772,79216132,chr1:79215772-79216132,2,361,8.915788585606988
chr1,81927696,81927980,chr1:81927696-81927980,1,285,8.307317551525022
chr1,82268420,82269588,chr1:82268420-82269588,1,1169,10.511747166022506
chr1,84289121,84289390,chr1:84289121-84289390,2,270,8.412626839904304
chr1,84848055,84848491,chr1:84848055-84848491,1,437,9.2446630541982735
chr1,86072885,86073441,chr1:86072885-86073441,1,557,9.443161676548481
chr1,87668655,87668791,chr1:87668655-87668791,1,137,7.366776397206491
chr1,88081374,88081620,chr1:88081374-88081620,1,247,8.278698990519237
chr1,89595596,89595852,chr1:89595596-89595852,1,257,8.496337043043436
chr1,90135818,90136060,chr1:90135818-90136060,1,243,8.330992528434066
chr1,90189523,90189798,chr1:90189523-90189798,1,276,8.463249522594662
chr1,92116335,92116643,chr1:92116335-92116643,1,309,8.598980705808957
chr1,92202579,92202753,chr1:92202579-92202753,1,175,7.805251625956362
chr1,92269494,92269966,chr1:92269494-92269966,1,473,9.191549170571898
chr1,92295673,92296022,chr1:92295673-92296022,1,350,8.760312173643227
chr1,92668364,92668570,chr1:92668364-92668570,1,207,8.256449399108389
chr1,93914812,93914954,chr1:93914812-93914954,1,143,7.338313469404775
chr1,94158601,94159338,chr1:94158601-94159338,1,738,9.826293819024196
chr1,94224034,94224429,chr1:94224034-94224429,1,396,9.033773553782
chr1,94244939,94245309,chr1:94244939-94245309,1,371,8.929446402744718
chr1,95080650,95081082,chr1:95080650-95081082,1,433,9.082242325923305
chr1,95189546,95189834,chr1:95189546-95189834,1,289,8.482261665913702
chr1,95263833,95264301,chr1:95263833-95264301,1,469,9.391471421881668
chr1,95331900,95332266,chr1:95331900-95332266,1,367,8.843475084619396
chr1,96476779,96477021,chr1:96476779-96477021,1,243,8.363813760602646
chr1,97029995,97030263,chr1:97029995-97030263,1,269,8.46704036411706
chr1,100678369,100678762,chr1:100678369-100678762,1,394,9.080978045033639
chr1,100827551,100827774,chr1:100827551-100827774,1,224,8.157840931587305
chr1,100828525,100828922,chr1:100828525-100828922,1,398,8.993015499161428
chr1,106338303,106338531,chr1:106338303-106338531,1,229,8.166969817847548
chr1,108199393,108199592,chr1:108199393-108199592,1,200,8.042860403257615
chr1,108329022,108329589,chr1:108329022-108329589,1,568,9.658841898023036
chr1,108479405,108480123,chr1:108479405-108480123,1,719,9.921171692629764
chr1,108584447,108584892,chr1:108584447-108584892,1,446,9.139495969419041
chr1,108595998,108596525,chr1:108595998-108596525,1,528,9.374761104667261
chr1,108650339,108650754,chr1:108650339-108650754,1,416,9.022092410709158
chr1,110333273,110333688,chr1:110333273-110333688,2,416,8.982344787960368
chr1,110334849,110335164,chr1:110334849-110335164,1,316,8.540141625229323
chr1,110336950,110337403,chr1:110336950-110337403,1,454,9.169784558552713
chr1,110364881,110365302,chr1:110364881-110365302,2,422,9.001606485759556
chr1,110406868,110407271,chr1:110406868-110407271,1,404,9.070872810666891
chr1,110429456,110429734,chr1:110429456-110429734,1,279,8.37115481570361
