chromosome,start,end,count,gene
chr1,1124600,1124942,1,HES4
chr1,1143531,1144198,1,LOC441869
chr1,1143531,1144198,1,MIB2
chr1,1143531,1144198,1,TNFRSF18
chr1,1143531,1144198,1,TNFRSF4
chr1,1814762,1815124,1,C1orf86
chr1,1814762,1815124,1,MIB2
chr1,1814762,1815124,1,SKI
chr1,2221868,2222548,1,SKI
chr1,2221868,2222548,1,TNFRSF14
chr1,2501788,2502413,1,SKI
chr1,2501788,2502413,1,TNFRSF14
chr1,2505035,2505361,1,SKI
chr1,2505035,2505361,1,TNFRSF14
chr1,2772559,2772713,1,HES5
chr1,6088225,6088518,1,KCNAB2
chr1,6088225,6088518,1,TNFRSF25
chr1,6373523,6373899,1,ACOT7
chr1,6373523,6373899,1,GPR153
chr1,6373523,6373899,1,ZBTB48
chr1,6661008,6661639,2,KLHL21
chr1,6661008,6661639,2,ZBTB48
chr1,8070132,8070398,1,ERRFI1
chr1,8070132,8070398,1,PER3
chr1,8070132,8070398,1,SLC45A1
chr1,8686491,8686867,1,RERE
chr1,9223907,9224260,1,SPSB1
chr1,9293549,9293739,1,H6PD
chr1,11798209,11798600,1,AGTRAP
chr1,11798209,11798600,1,CLCN6
chr1,11798209,11798600,1,FBXO6
chr1,11798209,11798600,1,MFN2
chr1,11798209,11798600,1,MTHFR
chr1,11798209,11798600,1,TNFRSF1B
chr1,11968510,11969143,1,CLCN6
chr1,11968510,11969143,1,MIIP
chr1,11968510,11969143,1,MTHFR
chr1,11968510,11969143,1,VPS13D
chr1,12124472,12125118,1,MIIP
chr1,12124472,12125118,1,TNFRSF8
chr1,12213128,12213883,1,AGTRAP
chr1,12213128,12213883,1,CLCN6
chr1,12213128,12213883,1,FBXO6
chr1,12213128,12213883,1,MFN2
chr1,12213128,12213883,1,MTHFR
chr1,12213128,12213883,1,TNFRSF1B
chr1,12233600,12234159,1,AGTRAP
chr1,12233600,12234159,1,CLCN6
chr1,12233600,12234159,1,MTHFR
chr1,12233600,12234159,1,TNFRSF1B
chr1,12233600,12234159,1,VPS13D
chr1,12237719,12238747,2,AGTRAP
chr1,12237719,12238747,2,CLCN6
chr1,12237719,12238747,2,MTHFR
chr1,12237719,12238747,2,TNFRSF1B
chr1,12237719,12238747,2,VPS13D
chr1,12240401,12240902,1,AGTRAP
chr1,12240401,12240902,1,CLCN6
chr1,12240401,12240902,1,MTHFR
chr1,12240401,12240902,1,TNFRSF1B
chr1,12513404,12513748,1,AADACL4
chr1,12513404,12513748,1,VPS13D
chr1,12781566,12781783,1,AADACL4
chr1,13931629,13932064,1,PDPN
chr1,13931629,13932064,1,PRDM2
chr1,13949833,13950153,1,PDPN
chr1,13949833,13950153,1,PRDM2
chr1,14027926,14028325,1,PRDM2
chr1,14029077,14029879,4,PRDM2
chr1,14848264,14848527,1,KAZN
chr1,15032293,15032599,1,KAZN
chr1,15144272,15144506,1,KAZN
chr1,15585949,15586132,1,CASP9
chr1,15585949,15586132,1,EFHD2
chr1,15585949,15586132,1,FHAD1
chr1,15585949,15586132,1,PLEKHM2
chr1,15585949,15586132,1,TMEM51
chr1,15664580,15664866,2,FBLIM1
chr1,15738146,15738632,1,CASP9
chr1,15738146,15738632,1,EFHD2
chr1,15738146,15738632,1,PLEKHM2
chr1,15738146,15738632,1,SPEN
chr1,15742467,15743324,1,CASP9
chr1,15742467,15743324,1,EFHD2
chr1,15742467,15743324,1,PLEKHM2
chr1,15742467,15743324,1,SPEN
chr1,15742467,15743324,1,TMEM51
chr1,15786440,15786713,1,CELA2A
chr1,15786440,15786713,1,CELA2B
chr1,15786440,15786713,1,CTRC
chr1,15786440,15786713,1,PLEKHM2
chr1,16176617,16176801,1,C1orf64
chr1,16176617,16176801,1,RSC1A1
chr1,16176617,16176801,1,SPEN
chr1,16677236,16677843,1,FBXO42
chr1,16677236,16677843,1,ZBTB17
chr1,16826315,16826438,2,C1orf64
chr1,16826315,16826438,2,FAM131C
chr1,16826315,16826438,2,NBPF1
chr1,17019394,17019738,1,NBPF1
chr1,17019394,17019738,1,SPATA21
chr1,17425016,17425355,3,PADI2
chr1,17425016,17425355,3,PADI4
chr1,17454855,17455288,1,PADI4
chr1,17956441,17957463,1,PADI4
chr1,19360402,19360809,2,IFFO2
chr1,19762527,19762798,1,NBL1
chr1,19803913,19804113,1,PLA2G2E
chr1,19803913,19804113,1,TMCO4
chr1,19803913,19804113,1,UBR4
chr1,20881978,20882230,1,CAMK2N1
chr1,20881978,20882230,1,VWA5B1
chr1,21348947,21349299,1,CDA
