chromosome,start,end,promoter,count,length,s_entropy
chr1,860120,862120,chr1:860120-862120,1,2001,11.50203178525494
chr1,893679,895679,chr1:893679-895679,1,2001,11.46082817210849
chr1,894966,896966,chr1:894966-896966,1,2001,11.40083590309817
chr1,916497,918497,chr1:916497-918497,2,2001,11.48352401005304
chr1,947846,949846,chr1:947846-949846,1,2001,11.47501052098575
chr1,954502,956502,chr1:954502-956502,2,2001,11.482347340410271
chr1,1008687,1010687,chr1:1008687-1010687,2,2001,11.43032846447327
chr1,1050736,1052736,chr1:1050736-1052736,2,2001,11.258865356768025
chr1,1114076,1116076,chr1:1114076-1116076,3,2001,11.472854493198037
chr1,1181102,1183102,chr1:1181102-1183102,1,2001,11.480277085465607
chr1,1208234,1210234,chr1:1208234-1210234,2,2001,11.518465506395838
chr1,1259067,1261067,chr1:1259067-1261067,2,2001,11.079366446815744
chr1,1259142,1261142,chr1:1259142-1261142,2,2001,11.086709563498593
chr1,1293174,1295174,chr1:1293174-1295174,1,2001,11.406182704887486
chr1,1297921,1299921,chr1:1297921-1299921,1,2001,11.255625705032047
chr1,1333722,1335722,chr1:1333722-1335722,1,2001,11.504199870824824
chr1,1360507,1362507,chr1:1360507-1362507,2,2001,11.418887192223936
chr1,1369902,1371902,chr1:1369902-1371902,1,2001,11.492327373543937
chr1,1384068,1386068,chr1:1384068-1386068,1,2001,11.461900516963217
chr1,1509262,1511262,chr1:1509262-1511262,1,2001,11.573213816756342
chr1,1534476,1536476,chr1:1534476-1536476,1,2001,11.557664275046783
chr1,1549794,1551794,chr1:1549794-1551794,1,2001,11.531233370404257
chr1,1654859,1656859,chr1:1654859-1656859,1,2001,11.560272196707675
chr1,1655004,1657004,chr1:1655004-1657004,1,2001,11.568184207962112
chr1,1821556,1823556,chr1:1821556-1823556,5,2001,11.529330592339202
chr1,1849740,1851740,chr1:1849740-1851740,1,2001,11.42576247091533
chr1,1949767,1951767,chr1:1949767-1951767,2,2001,11.45562532468546
chr1,1980908,1982908,chr1:1980908-1982908,1,2001,11.487774909564108
chr1,2125214,2127214,chr1:2125214-2127214,1,2001,11.407435105585764
chr1,2159133,2161133,chr1:2159133-2161133,2,2001,11.510384660380742
chr1,2397897,2399897,chr1:2397897-2399897,2,2001,11.422021784079906
chr1,2460684,2462684,chr1:2460684-2462684,1,2001,11.502778267870095
